CÓDIGO,NOMBRE (catálogo Odoo),Presentación,,
,,,Lista USD,Lista BCV (Euro)
,,,USD s/IVA,VES s/IVA
1,ELITE API SP SAE 0W-20 (1x6),,42.24,52.59
7,ELITE API SN SAE 5W-20 (1x6),,39.66,50
13,ELITE API SN SAE 5W-30 (1x6),,39.66,50
19,ELITE API SN SAE 5W-40 (1x6),,39.66,50
25,SS EXTRA PROTECCION API SN SAE 10W-30 (Gasolina) (1x6),,31.03,38.79
35,API SN SAE 15W‐40 SemiSintético Tambor 208 L,,875,"1,093.97"
41,API SN SAE 20W‐50 SemiSintético Tambor 208 L,,875,"1,093.97"
51,"API SL SAE 15W‐40 Mineral Multigrado Paila 18,92 L",,77.59,96.55
53,API SL SAE 15W‐40 Mineral Multigrado Tambor 208 L,,762.07,952.59
57,CLASICO API SL SAE 20W-50 (PAILA),,77.59,96.55
59,API SL SAE 20W‐50 Mineral Multigrado Tambor 208 L,,761.21,951.72
73,SUPREMO API CI-4 SAE 15W-40 (PAILA),,78.45,98.28
75,SUPREMO API CI-4 SAE 15W-40 (Tambor),,804.31,"1,006.03"
78,SUPREMO API CI-4 SAE 20W-50 (Paila),,90.52,112.93
80,API CI ‐ 4 SAE 20W‐50 Diésel Multigrado Tambor 208 L,,896.55,"1,119.83"
83,MAXIMO API CF SAE 50 (PAILA),,69.83,87.93
85,MAXIMO API CF SAE 50 (Tambor),,710.34,887.93
87,ENDUROGLOB 2T AIRE (1x6),,28.45,35.34
91,ENDUROGLOB 2T AIRE (Tambor),,,
93,ALTA CILINDRADA SS API SN SAE 15W-40 (1x6),,29.31,36.21
107,TRANSMATIC ATF DEXRON III (PAILA),,78.45,98.28
109,TRANSMATIC ATF DEXRON III (Tambor),,788.79,985.34
112,"API GL ‐ 4 SAE 90 Cajas Sincrónicas Paila 18,92",,79.31,98.28
117,"API GL‐ 4 SAE 140 Cajas Sincrónicas Paila 18,92",,81.9,101.72
119,API GL‐ 4 SAE 140 Cajas Sincrónicas Tambor 208 L,,850,"1,062.07"
121,TRANSGLOB API GL-5 SAE 80W-90 (1x6),,31.03,38.79
123,TRANSGLOB API GL-5 SAE 80W-90 (Paila),,76.72,96.55
125,TRANSGLOB API GL-5 SAE 80W-90 (Tambor),,824.14,"1,030.17"
127,TRANSGLOB API GL-5 SAE 85W-140 (1x6),,31.03,38.79
129,TRANSGLOB API GL-5 SAE 85W-140 (Paila),,77.59,97.41
131,TRANSGLOB API GL-5 SAE 85W-140 (Tambor),,818.97,"1,024.14"
136,AW/ISO 32 Mineral Hidráulico Tambor 208 L,,769.83,962.93
139,HIDRAGLOB AW/ISO 46 (PAILA),,71.55,88.79
141,HIDRAGLOB AW/ISO 46 (Tambor),,780.17,975
144,HIDRAGLOB AW/ISO 68 (PAILA),,62.93,78.45
146,HIDRAGLOB AW/ISO 68 (Tambor),,688.79,860.34
149,"AW/ISO 100 Mineral Hidráulico Paila 18,92 L",,73.28,91.38
151,AW/ISO 100 Mineral Hidráulico Tambor 208 L,,806.03,"1,006.90"
154,"AW/ISO 150 Mineral Hidráulico Paila 18,92 L",,77.59,97.41
156,AW/ISO 150 Mineral Hidráulico Tambor 208 L,,839.66,"1,050.00"
161,AW/ISO 220 Mineral Hidráulico Tambor 208 L,,862.93,"1,078.45"
163,CARIBE FUERA DE BORDA TC-W3 2 TIEMPOS (1x6),,28.45,35.34
165,"Caribe TC‐W3 2 Tiempo Agua‐Fuera de Borda Paila 18,92 L",,85.34,106.9
167,Caribe TC‐W3 2 Tiempo Agua‐Fuera de Borda Tambor 208 L,,885.34,"1,106.90"
179,Ultramarino Sistema 4010 Tambor 208 L,,916.38,"1,144.83"
181,Ultramarino MT 4010 Tambor 208 L,,874.14,"1,092.24"
183,Ultramarino Sistema 3010 Tambor 208 L,,873.28,"1,091.38"
185,Ultramarino MT 4012 Tambor 208 L,,0,0
187,Ultramarino MD 4015 Tambor 208 L,,916.38,"1,144.83"
189,Ultramarino TPEO 3030 Tambor 208 L,,"1,031.90","1,289.66"
191,Ultramarino TPEO 4030 Tambor 208 L,,"1,075.86","1,343.97"
193,Ultramarino TPEO 4040 Tambor 208 L,,"1,192.24","1,489.66"
195,Ultramarino MR 4040 Tambor 208 L,,"1,192.24","1,489.66"
197,Ultramarino Cilindro 5040 Tambor 208 L,,"1,200.00","1,500.00"
199,Ultramarino Cilindro 5070 Tambor 208 L,,"1,293.97","1,617.24"
202,"TO‐4 SAE 10W Sistemas Hidráulicos y Mandos Finales Paila 18,92 L",,99.14,123.28
204,TO‐4 SAE 10W Sistemas Hidráulicos y Mandos Finales Tambor 208 L,,801.72,"1,001.72"
207,"TO‐4 SAE 30 Transmisiones Manuales Paila 18,92 L",,99.14,124.14
