so,code,prod,fch,monpago,lista,pu,esperado,src,usd_pay,ves_pay,flag,absdev,pct,dist_nearest_list
S00007,881.0,[0881] CLASICO API SL SAE 20W-,2026-02-26,USD,USD,68.11,63.0,feb23,63.0,79.0,por_encima,5.109999999999999,8.11111111111111,5.109999999999999
S00007,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-02-26,USD,USD,71.56,67.0,feb23,67.0,83.0,por_encima,4.560000000000002,6.805970149253734,4.560000000000002
S00033,879.0,[0879] CARIBE FUERA DE BORDA T,2026-03-05,USD,USD,69.83,65.0,feb23,65.0,81.0,por_encima,4.829999999999998,7.430769230769228,4.829999999999998
S00043,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-06,VES,VES,59.7669,79.0,feb23,63.0,79.0,por_debajo,19.2331,-24.34569620253165,3.2331000000000003
S00004,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-09,USD,USD,71.56,67.0,feb23,67.0,83.0,por_encima,4.560000000000002,6.805970149253734,4.560000000000002
S00004,877.0,[0877] SS EXTRA PROTECCION API,2026-03-09,USD,USD,90.48,72.0,feb23,72.0,96.0,por_encima,18.480000000000004,25.66666666666667,5.519999999999996
S00014,883.0,[0883] GRASA GLOBAL AZUL AZ 95,2026-03-09,VES,VES,70.9031,95.0,feb23,76.0,95.0,por_debajo,24.096900000000005,-25.365157894736846,5.096900000000005
S00015,880.0,[0880] CLASICO API SL SAE 15W-,2026-03-09,VES,VES,58.4685,78.0,feb23,62.0,78.0,por_debajo,19.5315,-25.040384615384614,3.531500000000001
S00017,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-09,VES,VES,61.4689,82.0,feb23,66.0,82.0,por_debajo,20.531100000000002,-25.037926829268297,4.531100000000002
S00020,880.0,[0880] CLASICO API SL SAE 15W-,2026-03-09,VES,VES,58.4685,78.0,feb23,62.0,78.0,por_debajo,19.5315,-25.040384615384614,3.531500000000001
S00021,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-09,VES,VES,59.2208,79.0,feb23,63.0,79.0,por_debajo,19.779200000000003,-25.036962025316463,3.779200000000003
S00026,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-09,USD,USD,62.4801,67.0,feb23,67.0,83.0,por_debajo,4.5199,-6.746119402985075,4.5199
S00029,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-09,USD,USD,68.11,63.0,feb23,63.0,79.0,por_encima,5.109999999999999,8.11111111111111,5.109999999999999
S00029,880.0,[0880] CLASICO API SL SAE 15W-,2026-03-09,USD,USD,67.25,62.0,feb23,62.0,78.0,por_encima,5.25,8.46774193548387,5.25
