so,code,prod,fch,monpago,lista,pu,esperado,src,usd_pay,ves_pay,flag
S00001,1.0,[0001] ELITE API SP SAE 0W-20 ,2026-02-25,nan,INDETERMINADA,61.0,,,49.0,61.0,lista_indeterminada
S00002,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-02-25,nan,INDETERMINADA,45.0,,,36.0,45.0,lista_indeterminada
S00002,877.0,[0877] SS EXTRA PROTECCION API,2026-02-25,nan,INDETERMINADA,96.0,,,72.0,96.0,lista_indeterminada
S00002,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-02-25,nan,INDETERMINADA,83.0,,,67.0,83.0,lista_indeterminada
S00005,602.0,[0602] SINOCO SAE 50 (PAILA),2026-02-26,nan,INDETERMINADA,85.45,,,,,lista_indeterminada
S00005,,Descuento ,2026-02-26,nan,INDETERMINADA,-11.6041,,,,,lista_indeterminada
S00005,,Descuento ,2026-02-26,nan,INDETERMINADA,-7.1778,,,,,lista_indeterminada
S00005,,Descuento ,2026-02-26,nan,INDETERMINADA,-102.54,,,,,lista_indeterminada
S00006,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-02-26,nan,INDETERMINADA,28.94,,,26.0,33.0,lista_indeterminada
S00006,762.0,[0762] LIGA PARA FRENOS DOT-3 ,2026-02-26,nan,INDETERMINADA,42.97,,,39.0,49.0,lista_indeterminada
S00007,775.0,[0775] LIGA PARA FRENOS DOT-4 ,2026-02-26,USD,USD,32.76,31.0,feb23,31.0,38.0,por_encima
S00007,881.0,[0881] CLASICO API SL SAE 20W-,2026-02-26,USD,USD,68.11,63.0,feb23,63.0,79.0,por_encima
S00007,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-02-26,USD,USD,71.56,67.0,feb23,67.0,83.0,por_encima
S00007,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-02-26,USD,USD,38.8,36.0,feb23,36.0,45.0,por_encima
S00007,878.0,[0878] SS EXTRA PROTECCION API,2026-02-26,USD,USD,90.48,72.0,feb23,72.0,90.0,por_encima
S00008,163.0,[0163] CARIBE FUERA DE BORDA T,2026-02-26,USD,USD,30.4643,33.0,feb23,33.0,41.0,por_debajo
S00009,602.0,[0602] SINOCO SAE 50 (PAILA),2026-02-26,VES,VES,72.411,,,,,producto_sin_lista
S00013,,Descuento ,2026-03-02,nan,INDETERMINADA,-6.9317,,,,,lista_indeterminada
S00013,602.0,[0602] SINOCO SAE 50 (PAILA),2026-03-02,nan,INDETERMINADA,85.45,,,,,lista_indeterminada
S00013,,Descuento ,2026-03-02,nan,INDETERMINADA,-110.7432,,,,,lista_indeterminada
S00003,,Descuento ,2026-03-02,nan,INDETERMINADA,-10.3435,,,,,lista_indeterminada
S00003,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-03-02,nan,INDETERMINADA,51.7173,,,,,lista_indeterminada
S00019,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-03-03,VES,VES,33.7305,45.0,feb23,36.0,45.0,por_debajo
S00025,602.0,[0602] SINOCO SAE 50 (PAILA),2026-03-04,nan,INDETERMINADA,73.3469,,,,,lista_indeterminada
